序号,英文标题,中文标题,中文摘要
P02153,Retrieving zinc concentrations in topsoil with reflectance spectroscopy at Opencast Coal Mine sites,露天煤矿区表层土壤锌含量的反射光谱反演,
P02311,Overview of leaching remediation of heavy metal contamination in soil,土壤重金属淋洗修复概述,重金属污染土壤的修复方法可分为生物修复、物理修复和化学修复。化学修复主要包括土壤淋洗和化学固化。土壤淋洗修复方法有两种：原位土壤淋洗修复和异位淋洗修复。土壤中重金属的淋洗剂包括无机淋洗剂、螯合剂、表面活性剂等。土壤淋洗可单独应用于污染土壤的修复，也可与其他修复方法结合使用。
P02379,Response of nitrification and nitrifying microorganisms to different nitrogen sources in the acid Ultisols of Jinyun Mountain,缙云山酸性淋溶土中不同氮源对硝化及硝化微生物的响应,氮基肥的施用会影响农地和林地酸性土壤中的硝化作用及硝化微生物。然而，不同氮肥对亚热带地区酸性淋溶土中硝化作用及硝化微生物的影响尚不清楚。本研究调查了硫酸铵和尿素施用对缙云山酸性淋溶土硝化作用及硝化微生物的影响。通过实时荧光定量PCR分析了氨氧化古菌(AOA)和氨氧化细菌(AOB) amoA基因的丰度。结果表明，各处理间土壤pH值存在显著差异，由于尿素水解，尿素添加组的pH值最高(pH = 4.93)。同样，不同处理间NH4+ -N和NO3− -N含量也存在显著差异。结果还揭示，尿素添加组的铵态氮和硝态氮含量高于硫酸铵组，并刺激了酸性淋溶土的硝化作用，而硫酸铵的施用并未刺激硝化作用。实验结束时，对照、硫酸铵和尿素处理的净硝化率分别为−0.005、−0.003和0.004 mg N kg−1 soil day−1。此外，尿素的添加显著增加了AOA和AOB的丰度。在所有处理中，AOA amoA基因的丰度均高于AOB。然而，与对照相比，添加硫酸铵和尿素土壤中AOA与AOB的比率较低。这表明氮添加极大地刺激了AOB的丰度而非AOA。因此，AOB可能对尿素添加土壤中较高的硝化潜力负责。综上所述，尿
P02757,Health risk assessment of heavy metal pollution in farmland downstream of Lead-zinc smelter,铅锌冶炼厂下游农田重金属污染的健康风险评价,"为了调查废弃铅锌冶炼厂下游农田土壤中的重金属是否会对当地人体健康造成危害，于2019年12月底使用梅花布点法和对角线采样法采集了中国甘肃省徽县某废弃铅锌冶炼厂下游农田耕作层(0~25cm)的土壤样品。利用美国EPA健康风险评估模型分析了五种选定重金属(Pb, As, Cr, Hg 和 Cd)对当地居民身体健康的影响。结果表明，研究区内三个地块土壤中这五种重金属的总非致癌风险指数平均值儿童为6.71，成人为4.27，均大于1，这意味着儿童和成人均存在非致癌风险。这五种重金属对儿童的平均致癌风险指数为4.49×10-4，成人为2.51×10-4，均大于1×10-4，这对当地居民构成了显著的致癌风险。研究结果为重金属污染农田的修复治理提供了重要支持。"
P02827,Soil multitrophic network complexity enhances the link between biodiversity and multifunctionality in agricultural systems,土壤多营养级网络复杂性增强了农业系统中生物多样性与多功能性的联系,地下生物多样性支持着人类所依赖的多种生态系统功能和服务。然而，目前缺乏探索生物多样性-生态系统功能（BEF）关系决定因素的研究，特别是在集约化管理的农业生态系统中。在此，我们报道了228个农田中土壤多类群生物多样性与多种生态系统功能（涉及作物产量、养分供给、元素循环和病原体控制）之间存在显著的正相关关系。这些关系受到生物类型的影响，与体型较小或处于较低营养级的土壤谱系（如古菌、细菌、真菌和原生生物光合营养者）相比，体型较大或处于较高营养级的土壤谱系（如无脊椎动物或原生生物捕食者）似乎表现出较弱或没有BEF关系。特别是，我们强调了土壤网络复杂性（由多营养级生物之间的共现模式反映）在增强土壤生物多样性与生态系统功能联系方面的作用。我们的结果在预测农业系统中地下多营养级生物对生态系统功能的影响方面取得了重大进展，并提出在土地利用集约化背景下，应将土壤多营养级网络复杂性视为增强生态系统生产力和可持续性的关键因素。
P02828,Contrasting pathways of carbon sequestration in paddy and upland soils,水稻土和旱地土壤碳固持的对比路径,水稻土构成了地球上最大的人工湿地，其显著特征是具有巨大的有机碳固持潜力。通过量化四个气候带土壤中植物源和微生物源碳，我们发现水稻土和旱地土壤中的有机碳积累是通过不同的途径实现的。水稻土的土壤有机碳固持效率比邻近的旱地土壤高39%-127%，且在温暖气候下的差异比寒冷气候下更大。旱地土壤更多通过微生物源碳补充，而水稻土则富含更高比例的植物源碳，这是由淹水产生的厌氧条件抑制了微生物分解所致。在两种土地利用类型下，植物残体对SOC的最大贡献出现在中等年均温度（15-20°C）、中性土壤（pH~7.3）和低粘土/砂粒比率条件下。相比之下，高温（~24°C）、低土壤pH（~5）和高粘土/砂粒比率有利于增强微生物残体的贡献。在温暖气候下，淹水水稻土中微生物残体对SOC的更大贡献可能归因于细菌的快速合成代谢，而作为好氧生物的真菌不太可能参与其中。如果发生从水稻土到旱地的土地利用转换，仅在中国东部的水稻土（0-15 cm）中就可能损失504 Tg碳作为CO2排放，其中90%来自保护性较差的植物源碳。因此，保护水稻系统及其他人工湿地，并通过可持续管理增加其碳储存，对于维持全球土壤碳库和缓解气候变化至关重
P02980,Key technologies and equipment for contaminated surface/groundwater environment in the rural river network area of China: integrated remediation,中国农村河网区受污染地表/地下水环境的关键技术与装备：综合修复,为了实现农村河网区地表水/地下水（SW/GW）和土壤的综合修复，中国科技部资助了农村河网区综合修复项目（IR-RRNA）。中国东部农村河网区（RRNA）是一个人类活动活跃的区域，经济发展迅速，国民生产总值高。然而，这些地区的水环境污染日益严重，严重阻碍了其可持续发展。特别是地表水/地下水之间的频繁相互作用加剧了RRNA中污染物的迁移和转化。IR-RRNA（2019-2022）将应用相关的跨学科和方法学知识，阐明SW-GW相互作用过程中水和土壤中污染物的输送和转化，并开发适用于RRNA的地表水、地下水和土壤修复技术。通过这种方式，实现RRNA中地表水/地下水和土壤修复技术的集成，并实施应用示范。同时，将编制适用于RRNA的综合修复技术指南。该项目有利于解决紧迫的环境问题，促进农村经济振兴和生态环境优化。
P03036,Specialized metabolic functions of keystone taxa sustain soil microbiome stability,关键类群的特异代谢功能维持土壤微生物组的稳定性,生物多样性与土壤微生物组稳定性之间的关系尚不清楚。本研究探讨了细菌系统发育多样性对土壤微生物组功能性状和稳定性的影响。通过将系列稀释的土壤悬浮液接种到灭菌土壤中产生了系统发育多样性不同的群落，并通过检测不同pH水平下的群落变化来评估微生物组的稳定性。通过DNA测序检测了分类特征和潜在功能性状。研究发现，具有更高系统发育多样性的细菌群落往往更加稳定，这意味着具有更高生物多样性的微生物组对扰动的抵抗力更强。功能基因共现网络和机器学习分类分析确定了特异代谢功能（特别是“氮代谢”和“次膦酸盐和亚膦酸盐代谢”）为关键功能。进一步的分类学注释发现，这些关键功能由特定的细菌类群（如硝化螺旋菌和芽单胞菌等）执行。这项研究为理解土壤微生物组生物多样性与生态系统稳定性之间的关系提供了新的见解，并强调了嵌入在关键类群中的特异代谢功能可能对土壤微生物组的稳定性至关重要。
P03084,Prediction of Spatial Distribution of Heavy Metals in Cultivated Soil Based on Multisource Auxiliary Variables and Random Forest Model,基于多源辅助变量和随机森林模型的耕地土壤重金属含量空间分布预测,农田土壤重金属含量的空间预测对于监测耕地污染和确保生态农业可持续发展至关重要。本研究从地形、气候、土壤属性、遥感信息、植被指数和人为活动这 6 个方面选取了 32 个环境变量作为辅助变量，并构建随机森林（RF）、回归克里格（RK）、普通克里格（OK）和多元线性回归（MLR）模型来预测耕地土壤中 As、 Cd、 Cr、 Cu、 Hg、 Ni、 Pb 和 Zn 的含量。结果表明，与 RK、 OK 和 MLR 相比，RF 模型对 As、 Cd、 Cr、 Hg、 Pb 和 Zn 的预测性能更高，而 OK 和 RK 模型分别对 Cu 和 Ni 含量的预测精度更高，表现为预测拟合优度（R2）最高而平均绝对误差（MAE）和均方根误差（RMSE）最低。不同预测方法对同种土壤重金属元素预测结果的空间分布趋势基本一致，8 种重金属含量的高值区均分布在南部的平原地区，但 RF 模型对空间预测的细节刻画得更为突出。随机森林影响因子重要性排序表明，兰溪市土壤重金属含量空间分异主要受 Se、 TN、 pH、海拔、年均温、年均降雨量、距河流距离和距工厂距离的共同影响。因此，随机森林可以作为土壤重金属空间预测的一种有
P03201,Soil Quality and Constraint Factors for Tobacco Planting of Typical Farmlands in Fuxian Lake Watershed,抚仙湖流域典型农田土壤质量状况及烟草种植障碍因素,以云南抚仙湖北岸澄江市约1 130 hm2农田土壤为研究对象，通过调查分析土壤物理、化学性质，评价了研究区土壤质量状况，并进一步利用空间分析、相关分析与主成分分析对研究区烟草种植的主要土壤障碍因子进行了分析。结果表明：研究区土壤整体偏黏(平均黏粒含量 496.7 g/kg)、偏碱(pH 均值 7.45)、有机质含量较高(均值 28.55 g/kg)、大中微量营养元素有效态含量也整体偏高(水解性氮均值 119.10 mg/kg、有效磷均值 68.85 mg/kg、速效钾均值 208.44 mg/kg、有效锰均值 28.14 mg/kg)，但各土壤性质在空间上变异较大。土壤基础地力、人为施肥管理、质地、酸碱性、有效锰是影响该地区土壤肥力的主要障碍因素，这些因素可通过有机质、速效钾、黏粒、pH、有效锰等指标进行评价，并指导烟草种植的土壤管理。烟草种植过程中应根据土壤性质、烟草养分需求，结合土壤养分空间变异采取相应的土壤改良措施。
P03238,"Status Assessment, Spatial Distribution and Health Risk of Heavy Metals in Agricultural Soils Around Mining-Impacted Communities in China",中国受采矿业影响的社区周围农业土壤中重金属的现状评估、空间分布及健康风险,中国拥有多种矿产资源，长期的采矿活动会显著影响重金属在农业土壤中的富集。迫切需要对受采矿业影响的社区周围农业土壤中的重金属污染进行系统调查和宏观评估。检索了2007年至2018年间发表的国际和中国国家数据库文章，最终筛选出92篇符合标准的文献进行分析。基于收集的数据，本文讨论了受采矿业影响的社区周围农业土壤中重金属浓度的总体状况，并利用地累积指数评估了污染水平。为了量化土壤中重金属通过口服摄入对人体健康构成的非致癌风险，应用了推荐模型进行健康风险评估，并结合蒙特卡洛模拟和敏感性分析。结果表明，镉、铅和汞造成的重金属污染浓度及相关生态风险更为严重。同时，空间分布特征表明，中国南方重金属（汞除外）的污染程度普遍高于北方。人体健康风险评估结果显示，在某些农业采样点，镉、砷和铅对公众构成了健康风险。值得注意的是，儿童、成年女性和男性的危害指数（HI）分别有34.02%、32.99%和30.93%高于指导值1，表明由于独特的生理特征和行为，儿童可能对环境污染物暴露异常敏感。本研究结果可能为决策者制定中国的污染防治措施和管理策略提供见解。
P03239,Palygorskite Loaded with Nanoscale Zero-Valent Iron as an Effective Stabilizer for Remediation of Soil Contaminated by Cd and Pb,负载纳米零价铁的坡缕石作为镉铅污染土壤有效稳定化修复剂的研究,目前，修复被镉和铅污染的农田土壤迫在眉睫。在本研究中，我们使用坡缕石作为纳米零价铁的载体合成了一种新型稳定剂。培养45天后，土壤pH值增加了1.80个单位。批量实验表明，添加PAL-nZVI后，重金属的生物有效性和淋滤毒性显著降低（P < 0.05）。数据表明，30天是镉和铅稳定化的关键时期，PAL-nZVI的最佳添加量为6%。此外，施加PAL-nZVI可以在30天的培养期后将镉和铅的形态从不稳定态转化为稳定态（镉和铅的最大残留百分比分别增加了27.34%和36.57%）。盆栽实验表明，施加PAL-nZVI可以促进玉米的生长，减少重金属从土壤中的积累，并降低土壤中镉和铅的植物毒性。这些结果表明，高效低成本的PAL-nZVI可作为修复镉铅污染土壤的可行稳定剂。
P03296,"Pollution characteristic, ecological and health risk assessment of soil heavy metal in a gold mine tailings pond",金尾矿库土壤重金属污染特征及生态健康风险评估,以甘肃陇南某闭库金矿尾矿库为研究对象，从不同堆放时间和不同土壤深度出发，对研究区36个土壤样品中的8种重金属元素含量特征、污染程度、生态风险和健康风险进行分析和评价。结果表明，研究区土壤污染以As、Cd和Hg为主，As以无-中污染为主，Cd以中污染为主，Hg以极重污染为主，尾矿库整体呈现极重污染水平。研究区中80.5%点位的As呈现低生态风险，66.7%点位的Cd呈现较高生态风险，100%点位的Hg呈现极高生态风险，尾矿库整体的生态风险为极高风险。研究区土壤重金属对成人和儿童均存在致癌风险和非致癌风险。致癌风险的主要暴露途径为经口摄入和皮肤接触，主要贡献元素为As、Cd和Cr。非致癌风险的主要暴露途径为经口摄入，主要贡献元素为As和Hg。
P03309,"Effects of atrazine application on soil aggregates, soil organic carbon and glomalin-related soil protein",阿特拉津施用对土壤团聚体、土壤有机碳及球囊霉素相关土壤蛋白的影响,"阿特拉津在中国仍被广泛使用。土壤中的阿特拉津残留量 (1.86–1100 mg/kg) 已超过允许限值 (1.0 mg/kg)，影响土壤结构和土壤团聚体组成。为了了解长期施用阿特拉津对土壤团聚体及胶结剂的影响，自1998年种植的玉米田建立了四个处理组，包括不施用阿特拉津 $( \mathrm { A T } _ { 0 } ) _ { i }$ ，以及从2012年到2018年每年施用一次 (28% 阿特拉津，1200–1350 mL/ha/year) $( \mathrm { A T } _ { 6 } ,$ 167 mg/kg)，从2008年到2018年 (AT10, 127.64 mg/kg)，以及从2002年到2018年 $( \mathrm { A T } _ { 1 6 } ,$ 102 mg/kg)，设三个重复。随着阿特拉津施用时间的增加，>5 mm 和 2–5 mm 土壤团聚体的质量分数显著下降，而 0.5–2 mm 和 <0.5 mm 土壤团聚体的质量分数逐渐增加，团聚体胶结剂含量的变化与团聚体相同。>5 mm 和 2–5 mm 团聚体中土壤有机碳 (SOC) 和球囊霉"
P03321,Research on Combined Pollution of Contaminated Farmland Soil-Crop System and Human Health Risk,污染农田土壤－作物体系复合污染及人体健康风险研究,
P03339,Adsorption and Reduction from Modified Polypyrrole Enhance Electrokinetic Remediation of Hexavalent Chromium-Contaminated Soil,改性聚吡咯的吸附与还原作用增强六价铬污染土壤的电动修复,环境中的重金属污染物 Cr(VI) 会对动物和人类健康构成严重威胁。本研究通过将 Fe3O4 纳米粒子和氨基自由基掺杂到原始 PPy 结构中，制备了 Fe3O4@PPy、Arg@PPy 和 Arg/Fe3O4@PPy，以增强对 Cr(VI) 的吸附。通过 FTIR、SEM、EDS、BET 分析和批量吸附实验研究了它们的特性。并将它们作为渗透性反应墙（PRB）与电动修复（EKR）结合用于修复铬污染土壤。吸附实验结果表明，PPy、Fe3O4@PPy、Arg@PPy 和 Arg/Fe3O4@PPy 对 Cr(VI) 的最大吸附容量分别为 60.43 mg/g、67.12 mg/g、159.86 mg/g 和 141.50 mg/g。它们均遵循准二级动力学模型和 Langmuir 等温模型，表现为单层吸附行为。在 EKR/PRB 系统中，Fe3O4@PPy、Arg@PPy 和 Arg/Fe3O4@PPy 在阳极附近的 Cr(VI) 去除率高于 PPy，分别提高了 74.60%、26.04% 和 68.64%。在酸性条件下的 EKR 修复过程中，阴离子污染物与质子化改性 PPy 之间存在较强的静
P03347,Soil Heavy Metals Contamination of a Typical Calcium Carbide Slag Dump Sites: Source Apportionment and Risk Assessment,典型电石渣堆场土壤重金属污染：源解析与风险评估,重金属的源识别和风险评估是污染场地修复的必要基础工作。本研究采集了典型电石渣倾倒场地的34个土壤样品，测试了As、Cd、Cr、Cu、Hg、Ni、Pb和Zn的浓度。利用PMF模型分析重金属来源，并计算了不同污染源的生态风险和健康风险的贡献率。结果表明，Hg是场地内主要污染重金属，最大浓度为112.19 mg/kg，且场地土壤伴随As、Cu和Pb复合污染。农田样品中Hg的平均浓度为0.13 mg/kg，也超过了当地土壤背景值，表明场地土壤Hg污染已向外扩散。八种重金属的来源分别为炼油废水和母质混合源（As、Cr、Cu和Pb）、氯乙烯废料源（Hg）和母质源（Cd、Ni和Zn）。场地土壤的平均潜在生态风险为22344.39，氯乙烯废料源对生态风险的贡献率为99.85%。炼油废水与母质混合源对儿童和成人的平均致癌风险分别为9.06E-6和6.36E-6，占总平均致癌风险的99.9%和99.48%。氯乙烯废料源对儿童和成人的平均非致癌风险指数分别为0.6和0.38，分别占总平均非致癌风险的64.13%和52.34%。这表明儿童对重金属更易感，与成人相比，主要污染源对儿童的危害更大。
P03395,"Determining environmental risk and source of heavy metal(loid)s in the surrounding farmland soil of a zinc smelter in water source area, Northwest China",确定中国西北水源区某锌冶炼厂周边农田土壤中重金属的环境风险及来源,为了探讨冶炼活动对当地环境的影响，本研究确定了中国南水北调中线工程水源地某锌冶炼厂周边农田土壤中重金属（As、Cu、Cr、Pb、Mn、Ni、V 和 Zn）的风险和来源。采用 X 射线荧光光谱法分析重金属含量，并利用地累积指数、内梅罗综合污染指数和潜在生态风险指数评估其污染水平和生态风险。通过多变量统计分析方法识别重金属的可能来源。结果表明，除 Mn 外，农田土壤中重金属的平均含量均高于当地土壤背景值。在下风方向，As、Cu、Pb、Zn 和 Ni 的含量随采样点与锌冶炼厂距离的增加而降低。受调查的土壤受到了中度至严重的重金属污染，总体呈现中度生态风险。As、Cu、Pb 和 Zn 主要源于锌冶炼活动；Cr、Mn 和 V 主要来源于自然源；Ni 主要来自锌冶炼活动，部分来自自然源。锌冶炼活动影响了周边农田土壤中重金属（特别是 Zn 和 Pb）的含量。当地政府应加强对农田及农产品中重金属的协同监测，以及污染物排放的监测与控制。
P03421,Nitrogen and phosphorus fertilization increases the uptake of soil heavy metal pollutants by plant community,氮磷施肥增加植物群落对土壤重金属污染物的吸收,背景：土壤重金属污染在世界范围内普遍存在。重金属污染物容易被植物吸收并在食物链中富集，可能危害人体健康，导致植物、动物和微生物多样性的丧失。植物通常可以吸收土壤重金属污染物。与超积累植物相比，非超积累植物群落修复土壤重金属污染具有许多优势。然而，在重金属污染下，吸收的重金属量可能较少，生物量也会减少。氮(N)和磷(P)的应用价格低廉且方便，可以增加植物对逆境的抵抗力并促进重金属污染土壤中植物的生长。方法：我们设计了一个重金属污染土壤的 comparative 温室实验，建立了四个处理：CK处理(不施肥的土壤)、N处理(添加N的土壤)、P处理(添加P的土壤)和N+P处理(添加N和P的土壤)。结果：我们的结果表明，植物地上部分生物量分别比CK处理增加了231.17%、14.84%和269.86%。N和P肥刺激植物将更多的生物量分配给地上部分。此外，N处理显著降低了植物地上和地下生物量中的Cd含量 ( P < 0.05 )；P肥显著降低了地上生物量中的Cu含量 ( P < 0.05 )。N+P处理显著降低了植物地上和地下生物量中Cd、Cu的含量 ( P < 0.05 )。同时，N和N+P显著
P03484,Enhanced Electrokinetic Remediation of Cadmium (Cd)-Contaminated Soil With Interval Power breaking,间歇通电强化镉污染土壤的电动修复,本研究比较了有无间歇通电的电动修复（EK）在去除土壤中总镉和植物有效镉方面的效果。进行了两组实验室实验，即具有相同累积通电时间（192小时）的间歇通电电动修复（24-12小时通断电循环）和常规电动修复（连续供电）。间歇通电电动修复后，土壤中总Cd的去除率提高到38%，而常规电动修复为28%。对于植物有效Cd，去除效率从52%提高到63%。此外，间歇通电处理下的土壤在修复过程中的电流和修复后的电导率均较高，这表明带电物质的解吸和/或迁移得到了增强。这进一步意味着，间歇通电提高土壤Cd去除效率可能与Cd物种的解吸和/或迁移增强有关。研究表明，常规电动修复和间歇通电电动修复都是去除土壤Cd的有效方法，但间歇通电电动修复效率更高。
P03495,Distribution and risk assessment of heavy metals in soil in a commonly used mining area,常用矿区土壤中重金属的分布及风险评估,本研究调查了文山矿区重金属的空间、垂直和组分分布、多元统计分析，并评估了污染水平和健康风险。该站点有6个采样点，共采集了32个样品。东部和东南部地区污染严重，而西部和西北部地区污染较轻。由于表土污染特别严重，平均值为503.31 mg/kg，比风险筛选值高25倍以上。在三个典型剖面中，所有土层的As含量均大于标准风险筛选值。在所有三个采样点，各种Ni、Cu和As组分比例随深度变化不大，且残余组分百分比占总浓度的80%或接近80%。此外，检测到Ni和As之间呈显著负相关（-0.85），表明这两种元素来源不同。主成分分析表明，两个主成分（归因于人类活动如采矿和运输的PC1，以及定义为自然来源的PC2）解释了总方差的80.632%。As对成人和儿童均构成了严重的生态风险和不可接受的健康风险（即非致癌和致癌风险）。因此，全面了解污染物的特性并改进采矿过程中的排放管理对于保护当地居民的环境和健康至关重要。
